_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
10 39 30.4300,+39 47 18.900,J103930.43+394718.9,0.093,23.3,15.6,15.075,1.96,274,3.34,39.88,39.56,8.7,SDSS J103930.43+394718.9,159.87679,39.78858
10 40 45.3400,+39 54 48.500,J104045.34+395448.5,0.134,35.8,2.5,16.888,1.91,235,2.98,40.4,39.11,8.4,SDSS J104045.34+395448.5,160.18892,39.91347
10 40 49.9900,+56 15 08.100,J104049.99+561508.1,0.134,22.3,15.9,16.123,1.77,257,3.25,40.2,39.9,8.6,SDSS J104049.99+561508.1,160.20829,56.25225
10 42 33.3800,+36 39 46.500,J104233.38+363946.5,0.142,53.1,2.0,16.347,1.82,243,2.95,40.63,39.06,8.5,SDSS J104233.38+363946.5,160.63908,36.66292
10 48 55.2800,+31 19 45.200,J104855.28+311945.2,0.117,52.2,10.4,15.607,1.93,270,3.08,40.44,39.59,8.7,SDSS J104855.28+311945.2,162.23033,31.32922
10 49 07.2600,+55 13 14.900,J104907.26+551314.9,0.126,24.0,23.8,15.44,1.89,448,3.3,40.17,40.02,9.5,SDSS J104907.26+551314.9,162.28025,55.22081
10 49 21.1300,-00 40 05.000,J104921.13-004005.0,0.039,250.0,70.2,13.544,1.9,226,2.83,40.11,39.42,8.3,SDSS J104921.13-004005.0,162.33804,-0.66806
10 51 47.3900,+55 23 08.300,J105147.39+552308.3,0.074,522.0,48.5,14.624,2.08,320,3.54,41.02,39.84,9.0,SDSS J105147.39+552308.3,162.94746,55.38564
10 52 59.9700,+43 02 55.000,J105259.97+430255.0,0.148,52.0,23.6,16.414,1.87,225,3.32,40.66,40.17,8.3,SDSS J105259.97+430255.0,163.24987,43.04861
10 53 44.1200,+49 29 55.900,J105344.12+492955.9,0.14,64.3,33.4,16.012,1.3,262,3.49,40.7,40.27,8.6,SDSS J105344.12+492955.9,163.43383,49.49886
10 53 48.9300,+40 23 45.900,J105348.93+402345.9,0.128,100.1,1.2,15.592,1.97,283,3.22,40.81,38.72,8.7,SDSS J105348.93+402345.9,163.45387,40.39608
10 55 44.9800,+45 24 01.400,J105544.98+452401.4,0.064,133.5,6.8,14.706,2.02,213,3.34,40.29,38.85,8.2,SDSS J105544.98+452401.4,163.93742,45.40039
10 57 02.7900,+56 45 03.100,J105702.79+564503.1,0.136,15.4,4.1,16.207,2.02,304,3.39,40.05,39.33,8.9,SDSS J105702.79+564503.1,164.26162,56.75086
10 58 47.6700,+16 45 26.000,J105847.67+164526.0,0.116,49.4,16.4,16.261,1.88,226,3.35,40.41,39.79,8.3,SDSS J105847.67+164526.0,164.69862,16.75722
11 05 35.7800,+09 19 56.300,J110535.78+091956.3,0.127,22.3,6.1,16.11,2.0,251,3.23,40.15,39.44,8.5,SDSS J110535.78+091956.3,166.39908,9.33231
11 10 20.0700,+20 46 57.500,J111020.07+204657.5,0.135,12.9,2.9,16.509,1.97,275,3.38,39.97,39.18,8.7,SDSS J111020.07+204657.5,167.58362,20.78264
11 10 37.3300,+54 11 35.700,J111037.33+541135.7,0.141,23.5,15.7,16.449,1.99,206,3.08,40.27,39.95,8.2,SDSS J111037.33+541135.7,167.65554,54.19325
11 12 11.3700,+30 43 52.300,J111211.37+304352.3,0.106,43.5,24.5,15.99,1.95,244,3.29,40.27,39.87,8.5,SDSS J111211.37+304352.3,168.04737,30.73119
11 13 37.1300,+23 48 46.500,J111337.13+234846.5,0.14,8.4,17.4,16.842,1.96,249,3.33,39.82,39.99,8.5,SDSS J111337.13+234846.5,168.40471,23.81292
11 19 11.1300,+08 15 39.800,J111911.13+081539.8,0.076,80.0,25.6,15.054,2.05,257,3.16,40.22,39.58,8.6,SDSS J111911.13+081539.8,169.79637,8.26106
11 20 55.8300,+17 38 54.000,J112055.83+173854.0,0.085,21.5,9.4,15.623,1.97,205,2.85,39.75,39.25,8.2,SDSS J112055.83+173854.0,170.23262,17.64833
11 23 52.3400,+44 37 35.600,J112352.34+443735.6,0.139,22.9,10.1,17.434,1.9,273,3.85,40.24,39.74,8.7,SDSS J112352.34+443735.6,170.96808,44.62656
11 24 03.1900,+47 58 14.900,J112403.19+475814.9,0.14,28.2,3.0,16.675,1.97,266,3.22,40.35,39.22,8.6,SDSS J112403.19+475814.9,171.01329,47.97081
11 24 57.4000,+17 17 44.700,J112457.40+171744.7,0.142,9.5,5.0,16.147,2.0,285,3.03,39.88,39.46,8.8,SDSS J112457.40+171744.7,171.23917,17.29575
11 26 03.5900,+54 53 29.100,J112603.59+545329.1,0.149,16.0,12.4,16.871,1.94,258,3.46,40.16,39.9,8.6,SDSS J112603.59+545329.1,171.51496,54.89142
11 30 12.7900,+23 58 22.100,J113012.79+235822.1,0.14,46.5,19.8,16.474,1.8,265,3.6,40.56,40.05,8.6,SDSS J113012.79+235822.1,172.55329,23.97281
11 33 59.2300,+49 03 43.400,J113359.23+490343.4,0.032,732.0,84.7,13.126,1.9,264,3.3,40.4,39.32,8.6,SDSS J113359.23+490343.4,173.49679,49.06206
11 42 10.7200,+55 27 29.600,J114210.72+552729.6,0.133,24.9,8.8,16.099,2.01,218,3.05,40.24,39.64,8.3,SDSS J114210.72+552729.6,175.54467,55.45822
11 42 12.1100,+10 11 59.000,J114212.11+101159.0,0.103,46.6,9.1,16.086,1.89,243,3.1,40.28,39.42,8.5,SDSS J114212.11+101159.0,175.55046,10.19972
11 43 45.5300,+19 23 33.400,J114345.53+192333.4,0.094,37.8,17.0,15.411,2.0,237,3.17,40.1,39.61,8.4,SDSS J114345.53+192333.4,175.93971,19.39261
11 51 09.3900,+43 59 18.600,J115109.39+435918.6,0.071,75.0,37.5,14.982,1.92,216,3.17,40.13,39.69,8.3,SDSS J115109.39+435918.6,177.78912,43.9885
11 53 23.8900,+30 59 04.800,J115323.89+305904.8,0.136,43.2,8.9,16.911,1.97,191,3.3,40.5,39.67,8.1,SDSS J115323.89+305904.8,178.34954,30.98467
